#GBE_ID	GBE_NAME	FIELD	TABLE	BASKET	APP_ID	N	N_GBE	N_NBW	N_AFR	N_EAS	N_SAS	SOURCE	DATE	PATH
HC1221	TTE_coxarthrosis_[arthrosis_of_hip]	NA	NA	NA	24983	19281	13692	779	85	14	75	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1221.phe
HC1101	TTE_crohn's_disease_[regional_enteritis]	NA	NA	NA	24983	2907	1952	117	20	2	49	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1101.phe
HC1138	TTE_cutaneous_abscess,_furuncle_and_carbuncle	NA	NA	NA	24983	11974	7693	535	203	14	365	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1138.phe
HC1537	TTE_cystic_kidney_disease	NA	NA	NA	24983	944	613	54	12	1	13	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1537.phe
HC1313	TTE_cystitis	NA	NA	NA	24983	17413	11823	852	113	20	207	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1313.phe
HC1073	TTE_cysts_of_oral_region,_not_elsewhere_classified	NA	NA	NA	24983	830	573	35	7	1	17	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1073.phe
HC1197	TTE_decubitus_ulcer	NA	NA	NA	24983	2216	1472	108	30	1	37	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1197.phe
HC166	deep_venous_thrombosis_(dvt)	NA	NA	NA	24983	10323	7059	483	114	4	94	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC166.phe
HC678	TTE_deficiency_of_other_b_group_vitamins	NA	NA	NA	24983	2462	1621	114	14	1	118	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC678.phe
HC685	TTE_deficiency_of_other_nutrient_elements	NA	NA	NA	24983	832	519	35	6	2	32	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC685.phe
HC715	TTE_delirium,_not_induced_by_alcohol_and_other_psychoactive_substances	NA	NA	NA	24983	1592	1075	75	13	0	20	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC715.phe
HC1066	TTE_dental_caries	NA	NA	NA	24983	4946	3020	260	214	6	86	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1066.phe
HC1071	TTE_dentofacial_anomalies_[including_malocclusion]	NA	NA	NA	24983	2525	1701	125	31	6	38	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1071.phe
HC41	depression	NA	NA	NA	24983	31299	21361	1535	193	26	308	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC41.phe
HC739	TTE_depressive_episode	NA	NA	NA	24983	52348	35451	2516	386	48	560	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC739.phe
HC1155	TTE_dermatitis_due_to_substances_taken_internally	NA	NA	NA	24983	1009	654	51	7	2	16	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1155.phe
HC553	TTE_dermatophytosis	NA	NA	NA	24983	32856	22218	1566	279	52	699	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC553.phe
HC221	diabetes	NA	NA	NA	24983	37717	23125	1571	1023	79	1883	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC221.phe
HC17	diabetic_eye_disease	NA	NA	NA	24983	1365	767	52	71	3	103	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC17.phe
HC1098	TTE_diaphragmatic_hernia	NA	NA	NA	24983	45068	30624	1957	329	36	611	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1098.phe
HC456	TTE_diarrhoea_and_gastro-enteritis_of_presumed_infectious_origin	NA	NA	NA	24983	15167	10229	658	129	18	254	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC456.phe
HC119	disc_degeneration	NA	NA	NA	24983	5418	3611	273	58	7	99	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC119.phe
HC1344	TTE_diseases_of_bartholin's_gland	NA	NA	NA	24983	2377	1555	127	37	9	24	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1344.phe
HC985	TTE_diseases_of_capillaries	NA	NA	NA	24983	2644	1782	141	11	3	15	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC985.phe
HC1068	TTE_diseases_of_pulp_and_periapical_tissues	NA	NA	NA	24983	7764	5065	371	125	17	140	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1068.phe
HC1075	TTE_diseases_of_salivary_glands	NA	NA	NA	24983	3261	2249	111	44	6	46	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1075.phe
HC629	TTE_diseases_of_spleen	NA	NA	NA	24983	808	529	39	9	1	8	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC629.phe
HC1078	TTE_diseases_of_tongue	NA	NA	NA	24983	3403	2321	120	31	4	55	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1078.phe
HC1029	TTE_diseases_of_vocal_cords_and_larynx,_not_elsewhere_classified	NA	NA	NA	24983	3072	2020	176	41	5	42	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1029.phe
HC68	disorder_of_adrenal_gland	NA	NA	NA	24983	1155	734	60	24	3	12	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC68.phe
HC1271	TTE_disorders_of_continuity_of_bone	NA	NA	NA	24983	3436	2382	167	13	2	27	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1271.phe
HC885	TTE_disorders_of_globe	NA	NA	NA	24983	1818	1176	81	26	2	46	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC885.phe
HC857	TTE_disorders_of_lachrymal_system	NA	NA	NA	24983	14353	9306	585	180	52	468	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC857.phe
HC700	TTE_disorders_of_lipoprotein_metabolism_and_other_lipidaemias	NA	NA	NA	24983	104428	69232	4635	1165	170	2647	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC700.phe
HC703	TTE_disorders_of_mineral_metabolism	NA	NA	NA	24983	4418	2928	225	49	5	66	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC703.phe
HC858	TTE_disorders_of_orbit	NA	NA	NA	24983	1059	691	53	12	1	21	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC858.phe
HC1227	TTE_disorders_of_patella	NA	NA	NA	24983	3173	2152	111	44	6	39	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1227.phe
HC702	TTE_disorders_of_porphyrin_and_bilirubin_metabolism	NA	NA	NA	24983	1536	1058	79	4	1	23	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC702.phe
HC893	TTE_disorders_of_refraction_and_accommodation	NA	NA	NA	24983	5215	3517	246	35	25	80	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC893.phe
HC863	TTE_disorders_of_sclera	NA	NA	NA	24983	1277	853	57	17	1	29	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC863.phe
HC820	TTE_disorders_of_trigeminal_nerve	NA	NA	NA	24983	2977	2050	137	20	4	36	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC820.phe
HC915	TTE_disorders_of_vestibular_function	NA	NA	NA	24983	11845	8142	462	65	22	165	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC915.phe
HC884	TTE_disorders_of_vitreous_body	NA	NA	NA	24983	9892	6825	464	51	28	124	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC884.phe
HC262	diverticular_disease/diverticulitis	NA	NA	NA	24983	6134	4327	267	11	2	15	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC262.phe
HC1106	TTE_diverticular_disease_of_intestine	NA	NA	NA	24983	46829	32352	2245	279	17	331	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1106.phe
HC1250	TTE_dorsalgia	NA	NA	NA	24983	70979	47126	3249	875	113	1377	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1250.phe
HC93	dry_eyes	NA	NA	NA	24983	1316	843	71	17	3	39	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC93.phe
HC1084	TTE_duodenal_ulcer	NA	NA	NA	24983	8667	5724	481	95	16	135	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1084.phe
HC1088	TTE_dyspepsia	NA	NA	NA	24983	18526	12022	835	320	53	397	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1088.phe
HC1354	TTE_dysplasia_of_cervix_uteri	NA	NA	NA	24983	7495	4965	347	131	15	84	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1354.phe
HC805	TTE_dystonia	NA	NA	NA	24983	1089	719	50	15	5	16	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC805.phe
HC435	ear/vestibular_disorder	NA	NA	NA	24983	4550	3129	209	31	9	52	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC435.phe
HC751	TTE_eating_disorders	NA	NA	NA	24983	908	615	55	1	0	4	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC751.phe
HC1186	TTE_eccrine_sweat_disorders	NA	NA	NA	24983	1118	766	46	9	3	9	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1186.phe
HC1367	TTE_ectopic_pregnancy	NA	NA	NA	24983	1017	618	70	31	2	16	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1367.phe
HC261	eczema/dermatitis	NA	NA	NA	24983	18778	12895	873	157	53	244	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC261.phe
HC1065	TTE_embedded_and_impacted_teeth	NA	NA	NA	24983	2575	1706	103	30	5	47	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1065.phe
HC1034	TTE_emphysema	NA	NA	NA	24983	3141	2132	157	16	1	11	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1034.phe
HC106	emphysema/chronic_bronchitis	NA	NA	NA	24983	9061	6102	551	42	6	71	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC106.phe
HC1587	AD_end_stage_renal_disease	NA	NA	NA	24983	1191	707	71	41	3	41	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1587.phe
HC1347	TTE_endometriosis	NA	NA	NA	24983	9613	6455	423	134	16	126	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1347.phe
HC85	enlarged_prostate	NA	NA	NA	24983	8152	5730	346	54	12	102	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC85.phe
HC1264	TTE_enthesopathies_of_lower_limb,_excluding_foot	NA	NA	NA	24983	7957	5419	336	90	14	120	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1264.phe
HC271	epicondylitis	NA	NA	NA	24983	1095	716	39	12	0	23	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC271.phe
HC813	TTE_epilepsy	NA	NA	NA	24983	7272	4933	349	56	8	82	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC813.phe
HC1353	TTE_erosion_and_ectropion_of_cervix_uteri	NA	NA	NA	24983	2031	1402	72	16	10	21	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1353.phe
HC932	TTE_essential_(primary_hypertension)	NA	NA	NA	24983	125794	83779	5400	2034	203	2533	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC932.phe
HC906	TTE_eustachian_salpingitis_and_obstruction	NA	NA	NA	24983	2493	1778	80	13	0	25	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC906.phe
HC1359	TTE_excessive,_frequent_and_irregular_menstruation	NA	NA	NA	24983	29543	19449	1334	577	80	451	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1359.phe
HC101	eye_trauma	NA	NA	NA	24983	787	574	37	7	1	8	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC101.phe
HC821	TTE_facial_nerve_disorders	NA	NA	NA	24983	3158	2094	134	25	7	65	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC821.phe
HC1406	TTE_false_labour	NA	NA	NA	24983	1368	832	94	41	4	31	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1406.phe
HC1348	TTE_female_genital_prolapse	NA	NA	NA	24983	17801	12201	752	106	22	189	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1348.phe
cancer1037	female_genital_tract_cancer	NA	NA	NA	24983	7809	5288	434	52	11	36	NA	2020-03-31	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/cancer/v2_2020/phe/cancer1037.phe
HC1364	TTE_female_infertility	NA	NA	NA	24983	4102	2674	219	72	16	90	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1364.phe
HC1095	TTE_femoral_hernia	NA	NA	NA	24983	1219	848	49	7	3	4	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1095.phe
HC1261	TTE_fibroblastic_disorders	NA	NA	NA	24983	23580	16158	991	130	33	461	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1261.phe
HC346	fibromyalgia	NA	NA	NA	24983	2503	1643	101	33	0	43	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC346.phe
HC1121	TTE_fibrosis_and_cirrhosis_of_liver	NA	NA	NA	24983	1840	1195	108	16	8	24	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1121.phe
HC1109	TTE_fissure_and_fistula_of_anal_and_rectal_regions	NA	NA	NA	24983	6340	4145	289	85	13	213	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1109.phe
HC1184	TTE_follicular_cysts_of_skin_and_subcutaneous_tissue	NA	NA	NA	24983	14699	10044	668	141	19	182	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1184.phe
HC89	food_intolerance	NA	NA	NA	24983	787	532	47	18	0	8	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC89.phe
HC363	fracture_clavicle_/_collar_bone	NA	NA	NA	24983	994	700	47	4	0	11	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC363.phe
HC260	fracture_fibula	NA	NA	NA	24983	1313	899	69	13	0	14	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC260.phe
HC240	fracture_finger	NA	NA	NA	24983	2600	1783	119	12	0	49	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC240.phe
HC76	fracture_foot	NA	NA	NA	24983	2120	1460	111	8	2	13	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC76.phe
HC83	fracture_forearm_/_wrist	NA	NA	NA	24983	9980	6892	490	34	9	84	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC83.phe
HC314	fracture_hand	NA	NA	NA	24983	4101	2805	194	17	4	66	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC314.phe
HC339	fracture_lower_leg_/_ankle	NA	NA	NA	24983	9764	6612	510	71	10	93	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC339.phe
HC327	fracture_metatarsal	NA	NA	NA	24983	853	580	52	3	2	2	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC327.phe
HC406	fracture_neck_of_femur_/_hip	NA	NA	NA	24983	4257	2911	190	12	4	40	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC406.phe
HC284	fracture_nose	NA	NA	NA	24983	864	593	51	3	0	9	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC284.phe
HC293	fracture_patella_/_knee	NA	NA	NA	24983	899	603	43	9	1	17	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC293.phe
HC223	fracture_pelvis	NA	NA	NA	24983	2337	1586	113	14	2	19	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC223.phe
HC57	fracture_radius	NA	NA	NA	24983	7567	5235	375	15	8	61	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC57.phe
HC373	fracture_rib	NA	NA	NA	24983	1474	1037	79	5	2	9	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC373.phe
HC396	fracture_shoulder_/_scapula	NA	NA	NA	24983	4247	2886	245	19	5	32	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC396.phe
HC424	fracture_skull_/_head	NA	NA	NA	24983	3501	2288	221	25	7	53	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC424.phe
HC334	fracture_sternum	NA	NA	NA	24983	2843	1983	145	8	1	31	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC334.phe
HC200	fracture_tibia	NA	NA	NA	24983	2937	2003	144	16	5	28	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC200.phe
HC256	fracture_toe	NA	NA	NA	24983	897	628	44	5	1	4	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC256.phe
HC380	fracture_ulna	NA	NA	NA	24983	2512	1749	113	9	4	17	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC380.phe
HC290	fracture_upper_arm_/_humerus_/_elbow	NA	NA	NA	24983	3015	2050	158	11	2	26	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC290.phe
HC398	fracture_wrist_/_colles_fracture	NA	NA	NA	24983	1923	1335	92	10	0	11	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC398.phe
HC8	gall_bladder_disease	NA	NA	NA	24983	2666	1857	117	6	2	26	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC8.phe
HC1083	TTE_gastric_ulcer	NA	NA	NA	24983	10480	6773	579	174	29	182	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1083.phe
HC275	gastritis/gastric_erosions	NA	NA	NA	24983	997	653	46	20	1	22	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC275.phe
HC1087	TTE_gastritis_and_duodenitis	NA	NA	NA	24983	48356	31711	2330	595	98	959	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1087.phe
HC1080	TTE_gastro-oesophageal_reflux_disease	NA	NA	NA	24983	60586	40793	2629	553	95	1015	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1080.phe
HC1379	TTE_gestational_[pregnancy-induced]_hypertension_without_significant_proteinuria	NA	NA	NA	24983	836	519	40	23	4	26	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1379.phe
HC109	gestational_hypertension/pre-eclampsia	NA	NA	NA	24983	2076	1442	106	23	3	17	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC109.phe
HC1069	TTE_gingivitis_and_periodontal_diseases	NA	NA	NA	24983	1888	1164	89	42	12	59	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1069.phe
HC882	TTE_glaucoma	NA	NA	NA	24983	14841	9976	637	307	28	261	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC882.phe
HC1222	TTE_gonarthrosis_[arthrosis_of_knee]	NA	NA	NA	24983	35579	24124	1333	443	39	684	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1222.phe
